abashed,more abashed,most abashed
heavy-handed,more heavy-handed,most heavy-handed
heavyset,more heavyset,most heavyset
hectic,more hectic,most hectic
hectoring,more hectoring,most hectoring
heedless,more heedless,most heedless
hefty,heftier,heftiest
heinous,more heinous,most heinous
hellacious,more hellacious,most hellacious
hell-bent,more hell-bent,most hell-bent
hellish,more hellish,most hellish
helpful,more helpful,most helpful
helpless,more helpless,most helpless
hep,hepper/more hep,heppest/most hep
#,herculean,['Her·cu·le·an'],[],[],more ~; most ~
herky-jerky,more herky-jerky,most herky-jerky
hesitant,more hesitant,most hesitant
heterodox,more heterodox,most heterodox
heterogeneous,more heterogeneous,most heterogeneous
hidebound,more hidebound,most hidebound
hideous,more hideous,most hideous
high,higher,highest
highbrow,more highbrow,most highbrow
high-class,higher-class/more high-class,highest-class/most high-class
high-end,higher-end/more high-end,highest-end/most high-end
highfalutin,more highfalutin,most highfalutin
high-flown,more high-flown,most high-flown
high-flying,more high-flying,most high-flying
high-grade,higher-grade,highest-grade
high-handed,more high-handed,most high-handed
high-level,higher-level,highest-level
high-minded,more high-minded,most high-minded
high-pitched,higher-pitched/more high-pitched,highest-pitched/most high-pitched
high-profile,more high-profile,most high-profile
high-ranking,higher-ranking,highest-ranking
high-sounding,more high-sounding,most high-sounding
high-spirited,more high-spirited,most high-spirited
high-strung,more high-strung,most high-strung
#,high-tech,['hi-tech'],[],[],more ~; most ~
high-toned,more high-toned,most high-toned
hilarious,more hilarious,most hilarious
hilly,hillier,hilliest
hip,hipper/more hip,hippest/most hip
hirsute,more hirsute,most hirsute
histrionic,more histrionic,most histrionic
hoarse,hoarser,hoarsest
hoary,hoarier,hoariest
ho-hum,more ho-hum,most ho-hum
hoity-toity,more hoity-toity,most hoity-toity
hokey,hokier,hokiest
holey,more holey,most holey
holier-than-thou,more holier-than-thou,most holier-than-thou
holistic,more holistic,most holistic
hollow,hollower,hollowest
holy,holier,holiest
homelike,more homelike,most homelike
homely,homelier,homeliest
homesick,more homesick,most homesick
homespun,more homespun,most homespun
homey,homier/more homey,homiest/most homey
homogeneous,more homogeneous,most homogeneous
homogenous,more homogenous,most homogenous
homophobic,more homophobic,most homophobic
honest,more honest,most honest
hopeful,more hopeful,most hopeful
hopeless,more hopeless,most hopeless
hopped-up,more hopped-up,most hopped-up
horny,hornier/more horny,horniest/most horny
horrendous,more horrendous,most horrendous
horrible,more horrible,most horrible
horrid,more horrid,most horrid
horrific,more horrific,most horrific
horrified,more horrified,most horrified
horrifying,more horrifying,most horrifying
#,horsey,['horsy'],['horsier', 'horsiest'],['hors·i·er', '-est'],
hospitable,more hospitable,most hospitable
hostile,more hostile,most hostile
hot,hotter,hottest
hot-blooded,more hot-blooded,most hot-blooded
hotheaded,more hotheaded,most hotheaded
hot-tempered,more hot-tempered,most hot-tempered
house-proud,more house-proud,most house-proud
huffy,huffier,huffiest
huggable,more huggable,most huggable
humane,more humane,most humane
humanistic,more humanistic,most humanistic
humble,humbler/more humble,humblest/most humble
humbling,more humbling,most humbling
humdrum,more humdrum,most humdrum
humid,more humid,most humid
humiliating,more humiliating,most humiliating
#,humongous,['hu·mun·gous'],[],[],more ~; most ~
humorous,more humorous,most humorous
humpbacked,more humpbacked,most humpbacked
humped,more humped,most humped
hungry,hungrier,hungriest
hunky,hunkier,hunkiest
hunky-dory,more hunky-dory,most hunky-dory
hurried,more hurried,most hurried
hurt,more hurt,most hurt
hurtful,more hurtful,most hurtful
hush-hush,more hush-hush,most hush-hush
husky,huskier,huskiest
hydrated,more hydrated,most hydrated
hyper,more hyper,most hyper
hyperactive,more hyperactive,most hyperactive
hypercritical,more hypercritical,most hypercritical
hypnotizing,more hypnotizing,most hypnotizing
hypocritical,more hypocritical,most hypocritical
#,hysterical,['hysteric'],[],[],more ~; most ~
icky,ickier/more icky,ickiest/most icky
iconic,more iconic,most iconic
iconoclastic,more iconoclastic,most iconoclastic
icy,icier/more icy,iciest/most icy
idealistic,more idealistic,most idealistic
#,idealized,['idealised'],[],[],more ~; most ~
identifiable,more identifiable,most identifiable
ideological,more ideological,most ideological
idiosyncratic,more idiosyncratic,most idiosyncratic
idiotic,more idiotic,most idiotic
idyllic,more idyllic,most idyllic
iffy,iffier/more iffy,iffiest/most iffy
ignoble,more ignoble,most ignoble
ignominious,more ignominious,most ignominious
ignorant,more ignorant,most ignorant
ill-advised,more ill-advised,most ill-advised
ill-assorted,more ill-assorted,most ill-assorted
ill-bred,more ill-bred,most ill-bred
ill-conceived,more ill-conceived,most ill-conceived
ill-considered,more ill-considered,most ill-considered
ill-defined,more ill-defined,most ill-defined
ill-disposed,more ill-disposed,most ill-disposed
illegible,more illegible,most illegible
ill-fated,more ill-fated,most ill-fated
illiberal,more illiberal,most illiberal
illiterate,more illiterate,most illiterate
ill-judged,more ill-judged,most ill-judged
ill-mannered,more ill-mannered,most ill-mannered
ill-natured,more ill-natured,most ill-natured
illogical,more illogical,most illogical
ill-starred,more ill-starred,most ill-starred
ill-tempered,more ill-tempered,most ill-tempered
ill-timed,more ill-timed,most ill-timed
illuminating,more illuminating,most illuminating
ill-used,more ill-used,most ill-used
illusory,more illusory,most illusory
illustrious,more illustrious,most illustrious
immense,more immense,most immense
imminent,more imminent,most imminent
immoderate,more immoderate,most immoderate
immodest,more immodest,most immodest
immoral,more immoral,most immoral
impaired,more impaired,most impaired
impartial,more impartial,most impartial
impassioned,more impassioned,most impassioned
impassive,more impassive,most impassive
impatient,more impatient,most impatient
impeccable,more impeccable,most impeccable
impecunious,more impecunious,most impecunious
impenetrable,more impenetrable,most impenetrable
imperceptible,more imperceptible,most imperceptible
imperious,more imperious,most imperious
impermeable,more impermeable,most impermeable
impertinent,more impertinent,most impertinent
imperturbable,more imperturbable,most imperturbable
impervious,more impervious,most impervious
impetuous,more impetuous,most impetuous
impious,more impious,most impious
impish,more impish,most impish
implacable,more implacable,most implacable
implausible,more implausible,most implausible
imploring,more imploring,most imploring
impolite,more impolite,most impolite
important,more important,most important
importunate,more importunate,most importunate
imposing,more imposing,most imposing
impoverished,more impoverished,most impoverished
impracticable,more impracticable,most impracticable
impractical,more impractical,most impractical
imprecise,more imprecise,most imprecise
impressionable,more impressionable,most impressionable
impressive,more impressive,most impressive
improbable,more improbable,most improbable
improper,more improper,most improper
improved,more improved,most improved
improvident,more improvident,most improvident
imprudent,more imprudent,most imprudent
impudent,more impudent,most impudent
impulsive,more impulsive,most impulsive
impure,more impure,most impure
inaccessible,more inaccessible,most inaccessible
inaccurate,more inaccurate,most inaccurate
inactive,more inactive,most inactive
inadequate,more inadequate,most inadequate
inadmissible,more inadmissible,most inadmissible
inadvisable,more inadvisable,most inadvisable
inane,more inane,most inane
inappropriate,more inappropriate,most inappropriate
inapt,more inapt,most inapt
inarticulate,more inarticulate,most inarticulate
inattentive,more inattentive,most inattentive
inauspicious,more inauspicious,most inauspicious
inauthentic,more inauthentic,most inauthentic
incapable,more incapable,most incapable
incautious,more incautious,most incautious
incestuous,more incestuous,most incestuous
inchoate,more inchoate,most inchoate
incidental,more incidental,most incidental
incisive,more incisive,most incisive
inclement,more inclement,most inclement
inclined,more inclined,most inclined
incoherent,more incoherent,most incoherent
incompatible,more incompatible,most incompatible
incompetent,more incompetent,most incompetent
incomprehensible,more incomprehensible,most incomprehensible
inconclusive,more inconclusive,most inconclusive
incongruous,more incongruous,most incongruous
inconsequential,more inconsequential,most inconsequential
inconsiderate,more inconsiderate,most inconsiderate
inconsistent,more inconsistent,most inconsistent
inconspicuous,more inconspicuous,most inconspicuous
inconstant,more inconstant,most inconstant
inconvenient,more inconvenient,most inconvenient
incorruptible,more incorruptible,most incorruptible
incredible,more incredible,most incredible
incredulous,more incredulous,most incredulous
incriminating,more incriminating,most incriminating
incurious,more incurious,most incurious
indebted,more indebted,most indebted
indecent,more indecent,most indecent
indecipherable,more indecipherable,most indecipherable
indecisive,more indecisive,most indecisive
indefatigable,more indefatigable,most indefatigable
indefensible,more indefensible,most indefensible
indefinite,more indefinite,most indefinite
indelible,more indelible,most indelible
indelicate,more indelicate,most indelicate
indented,more indented,most indented
in-depth,more in-depth,most in-depth
indictable,more indictable,most indictable
indifferent,more indifferent,most indifferent
indigent,more indigent,most indigent
indigestible,more indigestible,most indigestible
indignant,more indignant,most indignant
indiscernible,more indiscernible,most indiscernible
indiscreet,more indiscreet,most indiscreet
indiscriminate,more indiscriminate,most indiscriminate
indispensable,more indispensable,most indispensable
indisposed,more indisposed,most indisposed
indisputable,more indisputable,most indisputable
indistinct,more indistinct,most indistinct
indolent,more indolent,most indolent
indulgent,more indulgent,most indulgent
industrious,more industrious,most industrious
inebriated,more inebriated,most inebriated
ineffective,more ineffective,most ineffective
ineffectual,more ineffectual,most ineffectual
inefficient,more inefficient,most inefficient
inelegant,more inelegant,most inelegant
inept,more inept,most inept
inequitable,more inequitable,most inequitable
inexact,more inexact,most inexact
inexpensive,more inexpensive,most inexpensive
inexperienced,more inexperienced,most inexperienced
infamous,more infamous,most infamous
infinitesimal,more infinitesimal,most infinitesimal
infirm,more infirm,most infirm
inflamed,more inflamed,most inflamed
inflammable,more inflammable,most inflammable
inflected,more inflected,most inflected
inflexible,more inflexible,most inflexible
influential,more influential,most influential
informal,more informal,most informal
informative,more informative,most informative
infrequent,more infrequent,most infrequent
infuriated,more infuriated,most infuriated
infuriating,more infuriating,most infuriating
ingenious,more ingenious,most ingenious
ingenuous,more ingenuous,most ingenuous
inglorious,more inglorious,most inglorious
ingrained,more ingrained,most ingrained
ingratiating,more ingratiating,most ingratiating
inhibited,more inhibited,most inhibited
inhospitable,more inhospitable,most inhospitable
inhuman,more inhuman,most inhuman
inhumane,more inhumane,most inhumane
inimical,more inimical,most inimical
iniquitous,more iniquitous,most iniquitous
injudicious,more injudicious,most injudicious
injurious,more injurious,most injurious
inland,more inland,most inland
innocent,more innocent,most innocent
innocuous,more innocuous,most innocuous
innovative,more innovative,most innovative
innovatory,more innovatory,most innovatory
inoffensive,more inoffensive,most inoffensive
inopportune,more inopportune,most inopportune
#,inquiring,['enquiring'],[],[],always used before a noun|more ~; most ~
inquisitive,more inquisitive,most inquisitive
insalubrious,more insalubrious,most insalubrious
insatiable,more insatiable,most insatiable
inscrutable,more inscrutable,most inscrutable
insecure,more insecure,most insecure
insensitive,more insensitive,most insensitive
insidious,more insidious,most insidious
insightful,more insightful,most insightful
insignificant,more insignificant,most insignificant
insincere,more insincere,most insincere
insinuating,more insinuating,most insinuating
insipid,more insipid,most insipid
insistent,more insistent,most insistent
insolent,more insolent,most insolent
insouciant,more insouciant,most insouciant
inspirational,more inspirational,most inspirational
inspiring,more inspiring,most inspiring
instructive,more instructive,most instructive
insubordinate,more insubordinate,most insubordinate
insubstantial,more insubstantial,most insubstantial
insufferable,more insufferable,most insufferable
insufficient,more insufficient,most insufficient
insular,more insular,most insular
insulting,more insulting,most insulting
insuperable,more insuperable,most insuperable
insupportable,more insupportable,most insupportable
insurmountable,more insurmountable,most insurmountable
intangible,more intangible,most intangible
integral,more integral,most integral
integrated,more integrated,most integrated
intelligible,more intelligible,most intelligible
intemperate,more intemperate,most intemperate
intense,more intense,most intense
intent,more intent,most intent
interactive,more interactive,most interactive
interdependent,more interdependent,most interdependent
interested,more interested,most interested
interesting,more interesting,most interesting
interminable,more interminable,most interminable
internationalist,more internationalist,most internationalist
interpersonal,more interpersonal,most interpersonal
interpretable,more interpretable,most interpretable
interrelated,more interrelated,most interrelated
interventionist,more interventionist,most interventionist
intimate,more intimate,most intimate
intimidated,more intimidated,most intimidated
intimidating,more intimidating,most intimidating
intolerable,more intolerable,most intolerable
intoxicated,more intoxicated,most intoxicated
intoxicating,more intoxicating,most intoxicating
intractable,more intractable,most intractable
intransigent,more intransigent,most intransigent
intrepid,more intrepid,most intrepid
intricate,more intricate,most intricate
intriguing,more intriguing,most intriguing
introspective,more introspective,most introspective
introverted,more introverted,most introverted
intrusive,more intrusive,most intrusive
intuitive,more intuitive,most intuitive
invaluable,more invaluable,most invaluable
invasive,more invasive,most invasive
inventive,more inventive,most inventive
inveterate,more inveterate,most inveterate
invidious,more invidious,most invidious
invigorating,more invigorating,most invigorating
inviting,more inviting,most inviting
inward,more inward,most inward
in-your-face,more in-your-face,most in-your-face
irascible,more irascible,most irascible
irate,more irate,most irate
iridescent,more iridescent,most iridescent
irksome,more irksome,most irksome
ironic/ironical,more ironic/more ironical,most ironic/most ironical
irrational,more irrational,most irrational
irreconcilable,more irreconcilable,most irreconcilable
irrelevant,more irrelevant,most irrelevant
irreligious,more irreligious,most irreligious
irresistible,more irresistible,most irresistible
irresolute,more irresolute,most irresolute
irresponsible,more irresponsible,most irresponsible
irreverent,more irreverent,most irreverent
irritable,more irritable,most irritable
irritated,more irritated,most irritated
irritating,more irritating,most irritating
isolationist,more isolationist,most isolationist
itchy,itchier,itchiest
jaded,more jaded,most jaded
jagged,more jagged,most jagged
jammy,jammier,jammiest
jarring,more jarring,most jarring
jaundiced,more jaundiced,most jaundiced
jaunty,jauntier/more jaunty,jauntiest/most jaunty
jazzed,more jazzed,most jazzed
jazzy,jazzier/more jazzy,jazziest/most jazzy
jealous,more jealous,most jealous
jerky,jerkier,jerkiest
jittery,more jittery,most jittery
jocose,more jocose,most jocose
jocular,more jocular,most jocular
jolly,jollier/more jolly,jolliest/most jolly
jolting,more jolting,most jolting
journalistic,more journalistic,most journalistic
jovial,more jovial,most jovial
joyful,more joyful,most joyful
joyless,more joyless,most joyless
joyous,more joyous,most joyous
jubilant,more jubilant,most jubilant
judicious,more judicious,most judicious
juiced,more juiced,most juiced
juicy,juicier/more juicy,juiciest/most juicy
jumped-up,more jumped-up,most jumped-up
jumpy,jumpier,jumpiest
junky,junkier,junkiest
just,more just,most just
justifiable,more justifiable,most justifiable
justified,more justified,most justified
keen,keener/more keen,keenest/most keen
kick-ass,more kick-ass,most kick-ass
kind,kinder,kindest
kindhearted,more kindhearted,most kindhearted
kindly,kindlier/more kindly,kindliest/most kindly
kingly,kinglier,kingliest
kinky,kinkier,kinkiest
kissable,more kissable,most kissable
kitschy,kitschier,kitschiest
kittenish,more kittenish,most kittenish
#,kludgy,['kludgey'],['kludgier', 'kludgiest'],['kludg·i·er', '-est'],
klutzy,klutzier,klutziest
knackered,more knackered,most knackered
knavish,more knavish,most knavish
knee-jerk,more knee-jerk,most knee-jerk
knightly,more knightly,most knightly
knobbly,knobblier,knobbliest
knobby,knobbier,knobbiest
knock-kneed,more knock-kneed,most knock-kneed
knotty,knottier,knottiest
knowing,more knowing,most knowing
knowledgeable,more knowledgeable,most knowledgeable
kooky,kookier,kookiest
laborious,more laborious,most laborious
labyrinthine,more labyrinthine,most labyrinthine
lachrymose,more lachrymose,most lachrymose
lackadaisical,more lackadaisical,most lackadaisical
laconic,more laconic,most laconic
lacy,lacier,laciest
laddish,more laddish,most laddish
laden,more laden,most laden
la-di-da,more la-di-da,most la-di-da
ladylike,more ladylike,most ladylike
laid-back,more laid-back,most laid-back
lairy,lairier/more lairy,lairiest/most lairy
laissez-faire,more laissez-faire,most laissez-faire
lame,lamer/more lame,lamest/most lame
lamentable,more lamentable,most lamentable
lanky,lankier/more lanky,lankiest/most lanky
large,larger,largest
largish,more largish,most largish
lascivious,more lascivious,most lascivious
lasting,more lasting,most lasting
late,later,latest
latent,more latent,most latent
lateral,more lateral,most lateral
laudable,more laudable,most laudable
laughable,more laughable,most laughable
lavish,more lavish,most lavish
lax,more lax,most lax
lazy,lazier,laziest
leafy,leafier,leafiest
leaky,leakier,leakiest
lean,leaner/more lean,leanest/most lean
leathery,more leathery,most leathery
lecherous,more lecherous,most lecherous
leery,more leery,most leery
legalistic,more legalistic,most legalistic
leggy,leggier,leggiest
legible,more legible,most legible
leisured,more leisured,most leisured
leisurely,more leisurely,most leisurely
lemony,more lemony,most lemony
lengthy,lengthier/more lengthy,lengthiest/most lengthy
lenient,more lenient,most lenient
leonine,more leonine,most leonine
lethal,more lethal,most lethal
lethargic,more lethargic,most lethargic
levelheaded,more levelheaded,most levelheaded
lewd,more lewd,most lewd
lexical,more lexical,most lexical
liberated,more liberated,most liberated
liberating,more liberating,most liberating
libidinous,more libidinous,most libidinous
licentious,more licentious,most licentious
life-affirming,more life-affirming,most life-affirming
life-giving,more life-giving,most life-giving
lifeless,more lifeless,most lifeless
lifelike,more lifelike,most lifelike
life-threatening,more life-threatening,most life-threatening
light,lighter,lightest
light,lighter,est
light-fingered,more light-fingered,most light-fingered
light-footed,more light-footed,most light-footed
light-headed,more light-headed,most light-headed
lighthearted,more lighthearted,most lighthearted
likable/likeable,more likable/more likeable,most likable/most likeable
likely,likelier/more likely,likeliest/most likely
likely-looking,likelier-looking/more likely-looking,likeliest-looking/most likely-looking
lilting,more lilting,most lilting
lily-livered,more lily-livered,most lily-livered
limited,more limited,most limited
limiting,more limiting,most limiting
limp,more limp,most limp
limpid,more limpid,most limpid
lippy,lippier,lippiest
#,lissome,['lis·som'],[],[],more ~; most ~
listenable,more listenable,most listenable
listless,more listless,most listless
literal-minded,more literal-minded,most literal-minded
literate,more literate,most literate
lithe,more lithe,most lithe
litigious,more litigious,most litigious
#,little,[],['less', 'lesser', 'littler', 'least', 'littlest'],['less', 'less·er', 'lit·tler', 'least', 'lit·tlest'],
#,livable,['live·able'],[],[],more ~; most ~
lived-in,more lived-in,most lived-in
lively,livelier/more lively,liveliest/most lively
livid,more livid,most livid
loamy,loamier,loamiest
loathsome,more loathsome,most loathsome
#,localized,['localised'],[],[],more ~; most ~
loco,more loco,most loco
locomotive,more locomotive,most locomotive
lofty,loftier/more lofty,loftiest/most lofty
logy,logier,logiest
lonely,lonelier/more lonely,loneliest/most lonely
lonesome,more lonesome,most lonesome
long,longer,longest
long-drawn-out,more long-drawn-out,most long-drawn-out
long-lasting,longer-lasting/more long-lasting,longest-lasting/most long-lasting
long-lived,longer-lived/more long-lived,longest-lived/most long-lived
long-sighted,more long-sighted,most long-sighted
loony,loonier,looniest
loopy,loopier,loopiest
loose,looser,loosest
loose-jointed,more loose-jointed,most loose-jointed
loose-limbed,more loose-limbed,most loose-limbed
loosey-goosey,more loosey-goosey,most loosey-goosey
lopsided,more lopsided,most lopsided
lordly,lordlier/more lordly,lordliest/most lordly
loud,louder,loudest
loudmouthed,more loudmouthed,most loudmouthed
lousy,lousier,lousiest
loutish,more loutish,most loutish
#,lovable,['love·able'],[],[],more ~; most ~
loveless,more loveless,most loveless
lovelorn,more lovelorn,most lovelorn
lovely,lovelier,loveliest
lovesick,more lovesick,most lovesick
lovey-dovey,more lovey-dovey,most lovey-dovey
loving,more loving,most loving
low,lower,lowest
lowbrow,more lowbrow,most lowbrow
low-class,lower-class/more low-class,lowest-class/most low-class
low-cut,more low-cut,most low-cut
low-down,more low-down,most low-down
low-end,lower-end/more low-end,lowest-end/most low-end
#,low-key,['low-keyed'],[],[],more ~; most ~
lowly,lowlier,lowliest
low-pitched,lower-pitched/more low-pitched,lowest-pitched/most low-pitched
low-ranking,lower-ranking,lowest-ranking
low-slung,more low-slung,most low-slung
low-spirited,more low-spirited,most low-spirited
low-tech,more low-tech,most low-tech
loyal,more loyal,most loyal
lucid,more lucid,most lucid
lucky,luckier,luckiest
lucrative,more lucrative,most lucrative
ludicrous,more ludicrous,most ludicrous
lugubrious,more lugubrious,most lugubrious
lukewarm,more lukewarm,most lukewarm
luminescent,more luminescent,most luminescent
luminous,more luminous,most luminous
lumpish,more lumpish,most lumpish
lumpy,lumpier,lumpiest
lurid,more lurid,most lurid
luscious,more luscious,most luscious
lush,lusher,lushest
lustful,more lustful,most lustful
lustrous,more lustrous,most lustrous
lusty,lustier,lustiest
luxuriant,more luxuriant,most luxuriant
luxurious,more luxurious,most luxurious
lyric,more lyric,most lyric
lyrical,more lyrical,most lyrical
macabre,more macabre,most macabre
Machiavellian,more Machiavellian,most Machiavellian
machinelike,more machinelike,most machinelike
macho,more macho,most macho
mad,madder,maddest
madcap,more madcap,most madcap
maddening,more maddening,most maddening
maggoty,more maggoty,most maggoty
magnanimous,more magnanimous,most magnanimous
magnetic,more magnetic,most magnetic
magnificent,more magnificent,most magnificent
majestic,more majestic,most majestic
#,makeable,['mak·able'],[],[],more ~; most ~
maladjusted,more maladjusted,most maladjusted
maladroit,more maladroit,most maladroit
malevolent,more malevolent,most malevolent
malicious,more malicious,most malicious
malign,more malign,most malign
malignant,more malignant,most malignant
malleable,more malleable,most malleable
malnourished,more malnourished,most malnourished
malodorous,more malodorous,most malodorous
mammoth,more mammoth,most mammoth
manageable,more manageable,most manageable
mangy,mangier,mangiest
maniacal,more maniacal,most maniacal
manic,more manic,most manic
manifest,more manifest,most manifest
manipulative,more manipulative,most manipulative
manky,mankier,mankiest
manly,manlier/more manly,manliest/most manly
mannerly,more mannerly,most mannerly
mannish,more mannish,most mannish
marketable,more marketable,most marketable
marshy,marshier/more marshy,marshiest/most marshy
massive,more massive,most massive
masterful,more masterful,most masterful
materialistic,more materialistic,most materialistic
matey,matier/more matey,matiest/most matey
matronly,more matronly,most matronly
matted,more matted,most matted
matter-of-fact,more matter-of-fact,most matter-of-fact
mature,maturer/more mature,maturest/most mature
maudlin,more maudlin,most maudlin
mawkish,more mawkish,most mawkish
mealy,mealier,mealiest
mealymouthed,more mealymouthed,most mealymouthed
mean,meaner/more mean,meanest/most mean
meaningful,more meaningful,most meaningful
meaningless,more meaningless,most meaningless
mean-spirited,more mean-spirited,most mean-spirited
measly,measlier,measliest
measured,more measured,most measured
meaty,meatier/more meaty,meatiest/most meaty
#,mechanized,['mechanised'],[],[],more ~; most ~
meddlesome,more meddlesome,most meddlesome
#,medieval,['me·di·ae·val'],[],[],more ~; most ~
mediocre,more mediocre,most mediocre
meditative,more meditative,most meditative
meek,meeker,meekest
melancholic,more melancholic,most melancholic
melancholy,more melancholy,most melancholy
mellifluous,more mellifluous,most mellifluous
mellow,mellower/more mellow,mellowest/most mellow
melodious,more melodious,most melodious
melodramatic,more melodramatic,most melodramatic
memorable,more memorable,most memorable
menacing,more menacing,most menacing
mendacious,more mendacious,most mendacious
menial,more menial,most menial
merciful,more merciful,most merciful
merciless,more merciless,most merciless
mercurial,more mercurial,most mercurial
#,mere,[],['merest'],['mer·est'],always used before a noun
meretricious,more meretricious,most meretricious
meritorious,more meritorious,most meritorious
merry,merrier,merriest
#,mesmerizing,['mesmerising'],[],[],more ~; most ~
messy,messier,messiest
methodical,more methodical,most methodical
meticulous,more meticulous,most meticulous
middlebrow,more middlebrow,most middlebrow
middle-class,more middle-class,most middle-class
middle-of-the-road,more middle-of-the-road,most middle-of-the-road
miffed,more miffed,most miffed
mighty,mightier/more mighty,mightiest/most mighty
mild,milder/more mild,mildest/most mild
mildewy,more mildewy,most mildewy
militant,more militant,most militant
militarist,more militarist,most militarist
militaristic,more militaristic,most militaristic
milky,milkier,milkiest
mind-blowing,more mind-blowing,most mind-blowing
mind-boggling,more mind-boggling,most mind-boggling
mindful,more mindful,most mindful
mind-numbing,more mind-numbing,most mind-numbing
mingy,mingier,mingiest
minimal,more minimal,most minimal
minty,mintier,mintiest
minute,minuter/more minute,minutest/most minute
miraculous,more miraculous,most miraculous
mirthful,more mirthful,most mirthful
mirthless,more mirthless,most mirthless
misanthropic,more misanthropic,most misanthropic
misbegotten,more misbegotten,most misbegotten
miscellaneous,more miscellaneous,most miscellaneous
mischievous,more mischievous,most mischievous
misconceived,more misconceived,most misconceived
miserable,more miserable,most miserable
miserly,more miserly,most miserly
misguided,more misguided,most misguided
misinformed,more misinformed,most misinformed
misleading,more misleading,most misleading
misshapen,more misshapen,most misshapen
mistaken,more mistaken,most mistaken
mistrustful,more mistrustful,most mistrustful
misty,mistier,mistiest
misty-eyed,more misty-eyed,most misty-eyed
misunderstood,more misunderstood,most misunderstood
mixed-up,more mixed-up,most mixed-up
mobile,more mobile,most mobile
mocking,more mocking,most mocking
modernist,more modernist,most modernist
modernistic,more modernistic,most modernistic
modest,more modest,most modest
modish,more modish,most modish
moist,moister/more moist,moistest/most moist
momentous,more momentous,most momentous
monastic,more monastic,most monastic
money-grubbing,more money-grubbing,most money-grubbing
monkish,more monkish,most monkish
monotonous,more monotonous,most monotonous
monstrous,more monstrous,most monstrous
moody,moodier/more moody,moodiest/most moody
moony,moonier,mooniest
moralistic,more moralistic,most moralistic
morbid,more morbid,most morbid
mordant,more mordant,most mordant
moronic,more moronic,most moronic
morose,more morose,most morose
mortified,more mortified,most mortified
mortifying,more mortifying,most mortifying
mossy,mossier,mossiest
moth-eaten,more moth-eaten,most moth-eaten
motherly,more motherly,most motherly
motivated,more motivated,most motivated
motley,more motley,most motley
mottled,more mottled,most mottled
mountainous,more mountainous,most mountainous
mournful,more mournful,most mournful
mousy/mousey,mousier,mousiest
mouth-watering,more mouth-watering,most mouth-watering
mouthy,mouthier,mouthiest
mucky,muckier,muckiest
muddled,more muddled,most muddled
muddy,muddier,muddiest
muggy,muggier,muggiest
mulish,more mulish,most mulish
multicultural,more multicultural,most multicultural
multifaceted,more multifaceted,most multifaceted
multifarious,more multifarious,most multifarious
mundane,more mundane,most mundane
munificent,more munificent,most munificent
murderous,more murderous,most murderous
murky,murkier,murkiest
muscle-bound,more muscle-bound,most muscle-bound
mushy,mushier,mushiest
musky,muskier,muskiest
musty,mustier,mustiest
mutable,more mutable,most mutable
muted,more muted,most muted
muzzy,muzzier,muzziest
myopic,more myopic,most myopic
mysterious,more mysterious,most mysterious
mystic,more mystic,most mystic
mystifying,more mystifying,most mystifying
naff,naffer/more naff,naffest/most naff
nagging,more nagging,most nagging
naive/naïve,more naive,most naive
namby-pamby,more namby-pamby,most namby-pamby
nappy,nappier,nappiest
narcissistic,more narcissistic,most narcissistic
narrow,narrower/more narrow,narrowest/most narrow
narrow-minded,more narrow-minded,most narrow-minded
nasty,nastier/more nasty,nastiest/most nasty
nationalistic,more nationalistic,most nationalistic
natty,nattier,nattiest
naturalistic,more naturalistic,most naturalistic
naturopathic,more naturopathic,most naturopathic
naughty,naughtier,naughtiest
nauseating,more nauseating,most nauseating
nauseous,more nauseous,most nauseous
near,nearer,est
neat,neater,neatest
needful,more needful,most needful
needlelike,more needlelike,most needlelike
needless,more needless,most needless
needy,needier/more needy,neediest/most needy
nefarious,more nefarious,most nefarious
neglected,more neglected,most neglected
neglectful,more neglectful,most neglectful
negligent,more negligent,most negligent
negligible,more negligible,most negligible
nerdish,more nerdish,most nerdish
nerdy,nerdier/more nerdy,nerdiest/most nerdy
#,nerve-racking,['nerve-wrack·ing'],[],[],more ~; most ~
nervy,nervier/more nervy,nerviest/most nervy
neurotic,more neurotic,most neurotic
new,newer,newest
newsworthy,more newsworthy,most newsworthy
newsy,newsier/more newsy,newsiest/most newsy
nice,nicer,nicest
nifty,niftier,niftiest
niggardly,more niggardly,most niggardly
nightmarish,more nightmarish,most nightmarish
nihilistic,more nihilistic,most nihilistic
nimble,nimbler/more nimble,nimblest/most nimble
nippy,nippier,nippiest
noble,nobler/more noble,noblest/most noble
noisome,more noisome,most noisome
noisy,noisier/more noisy,noisiest/most noisy
nomadic,more nomadic,most nomadic
nonchalant,more nonchalant,most nonchalant
noncommittal,more noncommittal,most noncommittal
noncompliant,more noncompliant,most noncompliant
nondescript,more nondescript,most nondescript
#,nonjudgmental,['non·judge·men·tal'],[],[],more ~; most ~
no-nonsense,more no-nonsense,most no-nonsense
#,nonplussed,['non·plused'],[],[],not used before a noun|more ~; most ~
nonpolitical,more nonpolitical,most nonpolitical
normal,more normal,most normal
northerly,more northerly,most northerly
nostalgic,more nostalgic,most nostalgic
nosy/nosey,nosier,nosiest
notable,more notable,most notable
noted,more noted,most noted
noteworthy,more noteworthy,most noteworthy
noticeable,more noticeable,most noticeable
notorious,more notorious,most notorious
nourishing,more nourishing,most nourishing
novel,more novel,most novel
